id,name,age,stats,height,weight,squad_number
3017,Santiago Cazorla González,38,83.0,169.0,67,8.0
12927,Alexis Alejandro Sánchez Sánchez,36,87.0,169.0,62,10.0
13705,Cristhian Ricardo Stuani Curbelo,38,88.0,184.0,72,7.0
16087,Axel Laurent Angel Lambert Witsel,36,89.0,186.0,81,20.0
20566,Iván Cuellar Sacristán,38,78.0,185.0,75,13.0
20654,Óscar Guido Trejo,37,85.0,180.0,79,8.0
22179,César Azpilicueta Tanco,36,88.0,178.0,75,3.0
22857,Daniel Parejo Muñoz,36,91.0,180.0,75,10.0
27736,Yuri Berchiche Izeta,35,88.0,181.0,77,17.0
34893,Robert Lewandowski,37,95.0,185.0,81,9.0
35874,Francisco Femenía Far,34,87.0,174.0,61,14.0
35947,José Salomón Rondón Giménez,36,85.0,186.0,86,23.0
36680,Daley Blind,35,89.0,180.0,72,17.0
37510,Leandro Daniel Cabrera Sasía,34,87.0,187.0,81,6.0
38848,Thibaut Nicolas Marc Courtois,33,95.0,199.0,90,1.0
41018,Jan Oblak,32,93.0,189.0,87,13.0
41522,Enrique García Martínez,35,87.0,186.0,79,19.0
41634,Wojciech Tomasz Szczęsny,35,90.0,196.0,84,25.0
41664,Jorge Resurrección Merodio,33,91.0,178.0,74,6.0
41780,Antoine Griezmann,34,94.0,176.0,73,7.0
42005,David Olatukunbo Alaba,33,91.0,180.0,78,4.0
42031,Marcos Alonso Mendoza,34,88.0,187.0,84,20.0
42073,Iago Aspas Juncal,38,89.0,176.0,67,10.0
43650,Marc Bartra Aregall,34,88.0,184.0,80,5.0
44056,Juan Miguel Jiménez López,32,87.0,172.0,69,7.0
44131,Aitor Fernández Abarisketa,34,85.0,182.0,70,13.0
44912,Ricardo Iván Rodríguez Araya,33,88.0,182.0,77,12.0
45455,Francisco Román Alarcón Suárez,33,91.0,176.0,79,22.0
45490,Cédric Bakambu,34,87.0,182.0,74,11.0
45648,Nemanja Gudelj,33,88.0,187.0,80,6.0
45688,Raúl Fernández Cavada Mateos,37,82.0,196.0,86,13.0
45876,Mathew David Ryan,33,87.0,184.0,82,13.0
46237,Florian Gregoire Claude Lejeune,34,87.0,190.0,81,24.0
46587,Daniel Carvajal Ramos,33,92.0,173.0,73,2.0
46788,David López Silva,35,88.0,185.0,83,5.0
47215,Marc-André Ter Stegen,33,93.0,187.0,85,1.0
47222,Denís Suárez Fernández,31,86.0,181.0,69,4.0
47292,Daniel José Rodriguez Vázquez,37,87.0,177.0,71,14.0
47918,Matías Ezequiel Dituro Curto,38,84.0,191.0,87,1.0
47982,Marko Dmitrović,33,86.0,190.0,81,13.0
49549,Ante Budimir,34,91.0,190.0,82,17.0
51845,Juan Carlos Martín Corral,37,82.0,187.0,81,14.0
51896,Dimitri Foulquier,32,87.0,183.0,77,20.0
52236,Iván Balliu Campeny,33,86.0,175.0,68,20.0
52418,Iñigo Ruiz De Galarreta Etxeberria,32,88.0,174.0,66,16.0
53004,Stole Dimitrievski,31,87.0,188.0,81,1.0
53052,Abdón Prats Bastidas,33,85.0,181.0,79,9.0
53300,Luis Ezequiel Ávila,31,87.0,182.0,80,9.0
53313,Pedro Bigas Rigo,35,85.0,181.0,82,6.0
53358,Cristian Portugués Manzanera,33,86.0,178.0,70,8.0
53792,Antonio Rüdiger,32,94.0,190.0,85,22.0
54204,Omar Mascarell González,32,87.0,181.0,75,5.0
54248,Moisés Gómez Bordonado,31,86.0,174.0,65,16.0
54837,Lucas Torró Marset,31,88.0,190.0,83,6.0
55457,Jonathan Castro Otto,31,85.0,175.0,70,17.0
56426,Paulo Dino Gazzaniga,33,88.0,196.0,90,13.0
57846,Mariano Díaz Mejías,32,80.0,180.0,79,9.0
58288,Odysseas Vlachodimos,31,87.0,191.0,77,1.0
58431,Antonio José Raillo Arenas,33,87.0,188.0,77,21.0
60109,Fábio Rafael Rodrigues Cardoso,31,85.0,186.0,75,15.0
61184,Rubén García Santos,32,87.0,171.0,72,14.0
61438,Aymeric Jean Louis Gerard Alphonse Laporte,31,91.0,191.0,87,14.0
62053,Diego Javier Llorente Ríos,32,89.0,185.0,74,3.0
62557,José Luis Gayá Peña,30,90.0,172.0,68,14.0
63418,Dominik Livaković,30,88.0,188.0,80,1.0
63601,Adrián San Miguel Del Castillo,38,84.0,190.0,80,13.0
63824,José Luis Morales Nogales,38,86.0,180.0,70,11.0
63849,Thomas Lemar,29,88.0,170.0,68,11.0
64369,Ørjan Håskjold Nyland,35,85.0,192.0,78,13.0
64398,Gerard Moreno Balagueró,33,90.0,177.0,75,7.0
64801,Dakonam Ortega Djené,33,88.0,178.0,72,2.0
65326,José María Giménez De Vargas,30,91.0,185.0,76,2.0
67144,Álvaro García Rivera,32,87.0,168.0,58,18.0
67194,Álvaro Juan Cruz Armada,33,87.0,180.0,79,3.0
67205,Johan Andrés Mojica Palacio,33,87.0,172.0,71,22.0
67797,Jeremy Isaiah Richard Toljan,31,86.0,182.0,76,14.0
67991,Sergi Darder Moll,31,89.0,180.0,71,10.0
68051,Adnan Januzaj,30,83.0,180.0,75,24.0
68181,André Miguel Valente Silva,29,87.0,185.0,84,9.0
68218,Duje Ćaleta-Car,29,87.0,192.0,81,16.0
68568,David Costas Cordal,30,83.0,184.0,74,4.0
68648,Unai López Cabrera,29,86.0,169.0,64,17.0
68700,Héctor Bellerín Moruno,30,87.0,178.0,74,2.0
68710,Ayoze Pérez Gutiérrez,32,91.0,178.0,72,22.0
68765,Nikola Maraš,29,84.0,187.0,78,12.0
